coin,fundingRate_avg_5d
MOVE,-911.3626461299999
LAYER,-139.69664126
VVV,-117.95592872000002
BLAST,-68.37292274
BERA,-62.90040182
BIO,-55.8788501
USUAL,-48.58971615
VIRTUAL,-45.110209839999996
TRUMP,-43.92249254
REZ,-32.96468811
GAS,-30.44824379
GMX,-27.37719
ONDO,-23.43695076
IO,-23.22368199
IP,-22.74929514
ME,-20.08636245
SEI,-19.07681844
COMP,-18.548559779999998
BCH,-18.48444607
MERL,-18.2459631
ZRO,-17.398376159999998
FET,-17.25403253
CELO,-16.353574610000006
MELANIA,-15.46267677
TURBO,-14.80417589
WCT,-14.19722615
PROMPT,-13.451267619999998
PYTH,-12.37056905
SNX,-12.04940336
SAGA,-11.63832722
BANANA,-10.857083409999998
ACE,-10.758387410000001
BSV,-10.283758199999998
ANIME,-10.189869980000001
BNB,-9.86655882
BABY,-9.808682229999999
ETC,-9.58392764
TON,-8.66056086
kSHIB,-8.11910161
JTO,-8.0640107
XLM,-8.02091223
CFX,-7.47775719
GMT,-7.140347540000001
ARB,-7.11216516
POL,-5.00342
MOODENG,-4.638668199999999
XAI,-4.23191147
OP,-3.98030821
OMNI,-3.36399549
FTT,-3.2553671099999977
TNSR,-3.2450069500000005
REQ,-2.821826679999999
RENDER,-2.8137025099999997
SCR,-2.726410569999999
APT,-2.6099193599999997
ATOM,-2.50218742
BRETT,-2.4064763899999986
PENGU,-2.2112174499999986
SAND,-1.8240546499999999
NOT,-1.378729829999999
KAITO,-1.32686479
S,-1.2281848499999999
MEW,-0.6526586899999988
SPX,-0.5227734399999995
AIXBT,-0.16507489999999947
SUI,-0.1420105499999982
