coin,fundingRate_avg_5d
ME,-275.15141538842977
CELO,-100.74738663471075
STABLE,-90.26848205950414
ZETA,-35.101228056198345
MANTA,-31.797906624793395
HMSTR,-25.745311319008263
kNEIRO,-22.733003603305782
ATOM,-22.436487738842974
MINA,-20.877440132231406
PYTH,-19.59966454214876
IOTA,-18.097324542148765
TNSR,-17.64150699173554
TRX,-17.358129679338848
HYPER,-15.905610912396693
0G,-14.875995986776859
DYDX,-13.270235861157024
TRUMP,-10.347427834710743
BLUR,-8.260950039669423
INJ,-5.748603034710742
TIA,-3.9589864363636353
ALT,-3.712084750413223
GAS,-3.0004339338842962
W,-2.179928171900825
PROVE,-1.4430550710743786
POPCAT,-0.9345291074380151
BCH,-0.8869869223140495
RENDER,-0.11504269090909101
