coin,fundingRate,premium,time
BTC,-2.8316e-06,-0.000522653,1777719600041
ETH,1.23278e-05,-0.0004013776,1777719600041
ATOM,1.25e-05,-0.000338599,1777719600041
MATIC,0.0,0.0,1777719600041
DYDX,1.25e-05,-9.6036e-06,1777719600041
SOL,-2.8502e-06,-0.0005228013,1777719600041
AVAX,1.25e-05,-4.43354e-05,1777719600041
BNB,-5.9223e-06,-0.0005473784,1777719600041
APE,1.25e-05,-0.0002391497,1777719600041
OP,-3.9551e-06,-0.0005316411,1777719600041
LTC,8.3447e-06,-0.0004332428,1777719600041
ARB,5.1e-07,-0.00049592,1777719600041
DOGE,1.25e-05,-0.0001235856,1777719600041
INJ,1.25e-05,-0.0003329582,1777719600041
SUI,-1.68985e-05,-0.000635188,1777719600041
kPEPE,1.25e-05,-5.11322e-05,1777719600041
CRV,1.25e-05,-9.30639e-05,1777719600041
LDO,1.25e-05,-5.7528e-06,1777719600041
LINK,1.25e-05,-0.0003138653,1777719600041
STX,1.25e-05,-0.0003265008,1777719600041
RNDR,0.0,0.0,1777719600041
CFX,1.25e-05,6.99e-08,1777719600041
FTM,0.0,0.0,1777719600041
GMX,1.25e-05,-0.0001345662,1777719600041
SNX,6.577e-06,-0.0004473844,1777719600041
XRP,-2.5227e-06,-0.0005201813,1777719600041
BCH,7.2917e-06,-0.0004416667,1777719600041
APT,1.25e-05,-0.0003998494,1777719600041
AAVE,1.25e-05,0.0005079569,1777719600041
COMP,-5.84584e-05,-0.0009676674,1777719600041
MKR,0.0,0.0,1777719600041
WLD,-9.95702e-05,-0.0012965616,1777719600041
FXS,0.0,0.0,1777719600041
HPOS,0.0,0.0,1777719600041
RLB,0.0,0.0,1777719600041
UNIBOT,0.0,0.0,1777719600041
YGG,1.25e-05,-0.0002017761,1777719600041
TRX,1.25e-05,6.12684e-05,1777719600041
kSHIB,8.807e-06,-0.0004295439,1777719600041
UNI,1.25e-05,-4.60091e-05,1777719600041
SEI,-1.59928e-05,-0.0006279422,1777719600041
RUNE,1.25e-05,-1.62351e-05,1777719600041
OX,0.0,0.0,1777719600041
FRIEND,0.0,0.0,1777719600041
SHIA,0.0,0.0,1777719600041
CYBER,0.0,0.0,1777719600041
ZRO,1.25e-05,0.000225035,1777719600041
BLZ,0.0,0.0,1777719600041
DOT,1.25e-05,-0.0001957762,1777719600041
BANANA,1.25e-05,-0.0002390753,1777719600041
TRB,1.25e-05,-0.0001314348,1777719600041
FTT,1.25e-05,0.0,1777719600041
LOOM,0.0,0.0,1777719600041
OGN,0.0,0.0,1777719600041
RDNT,0.0,0.0,1777719600041
ARK,-2.7183e-06,-0.0005217468,1777719600041
BNT,0.0,0.0,1777719600041
CANTO,0.0,0.0,1777719600041
REQ,0.0,0.0,1777719600041
BIGTIME,5.225e-06,-0.0004582002,1777719600041
KAS,1.25e-05,-5.56e-07,1777719600041
ORBS,0.0,0.0,1777719600041
BLUR,1.25e-05,-3.21591e-05,1777719600041
TIA,-1.61884e-05,-0.000629507,1777719600041
BSV,1.25e-05,1.494e-07,1777719600041
ADA,1.25e-05,-0.0003250606,1777719600041
TON,-4.4396e-06,-0.0005355171,1777719600041
MINA,3.62e-07,-0.0004971041,1777719600041
POLYX,-4.932e-07,-0.0005039457,1777719600041
GAS,-1.18994e-05,-0.000595195,1777719600041
PENDLE,1.25e-05,-4.82107e-05,1777719600041
STG,0.0,0.0,1777719600041
FET,1.25e-05,-0.0001589439,1777719600041
STRAX,0.0,0.0,1777719600041
NEAR,3.8297e-06,-0.0004693623,1777719600041
MEME,1.25e-05,-7.14145e-05,1777719600041
ORDI,1.25e-05,-7.79301e-05,1777719600041
BADGER,0.0,0.0,1777719600041
NEO,9.0506e-06,-0.0004275949,1777719600041
ZEN,1.25e-05,-6.13962e-05,1777719600041
FIL,1.25e-05,-0.0002991831,1777719600041
PYTH,6.6964e-06,-0.0004464285,1777719600041
SUSHI,-4.64879e-05,-0.0008719034,1777719600041
ILV,0.0,0.0,1777719600041
IMX,-3.94938e-05,-0.0008159501,1777719600041
kBONK,1.25e-05,-5.82925e-05,1777719600041
GMT,1.25e-05,-2.97422e-05,1777719600041
SUPER,1.25e-05,-0.0001066318,1777719600041
USTC,1.25e-05,-9.5512e-05,1777719600041
NFTI,0.0,0.0,1777719600041
JUP,-3.0923e-06,-0.0005247386,1777719600041
kLUNC,1.25e-05,-0.0003569961,1777719600041
RSR,1.25e-05,-0.0001375324,1777719600041
GALA,1.25e-05,-0.0003178329,1777719600041
JTO,1.25e-05,-0.0003847597,1777719600041
NTRN,0.0,0.0,1777719600041
ACE,1.25e-05,-0.0001042559,1777719600041
MAV,1.25e-05,-4.0928e-05,1777719600041
WIF,1.25e-05,1.29187e-05,1777719600041
CAKE,4.7476e-06,-0.0004620194,1777719600041
PEOPLE,1.25e-05,-6.6279e-06,1777719600041
ENS,1.25e-05,2.59159e-05,1777719600041
ETC,1.25e-05,-1.55021e-05,1777719600041
XAI,-9.797e-07,-0.0005078373,1777719600041
MANTA,1.25e-05,-1.95171e-05,1777719600041
UMA,1.25e-05,-1.2165e-05,1777719600041
ONDO,1.25e-05,2.4475e-06,1777719600041
ALT,-2.85204e-05,-0.0007281633,1777719600041
ZETA,1.25e-05,-0.0001995449,1777719600041
DYM,1.25e-05,-0.0001845985,1777719600041
MAVIA,0.0011316489,0.0095531911,1777719600041
W,1.25e-05,-0.0003424692,1777719600041
PANDORA,0.0,0.0,1777719600041
STRK,1.25e-05,-0.0002217822,1777719600041
PIXEL,0.0,0.0,1777719600041
AI,0.0,0.0,1777719600041
TAO,1.25e-05,-6.973e-05,1777719600041
AR,1.25e-05,-9.4232e-06,1777719600041
MYRO,0.0,0.0,1777719600041
kFLOKI,1.25e-05,-0.0002950294,1777719600041
BOME,1.25e-05,-1.86505e-05,1777719600041
ETHFI,1.25e-05,1.4869e-06,1777719600041
ENA,1.25e-05,-8.42741e-05,1777719600041
MNT,4.98244e-05,0.0008985955,1777719600041
TNSR,1.25e-05,-0.0003376893,1777719600041
SAGA,1.81182e-05,0.0006449455,1777719600041
MERL,-3.241e-05,-0.0007592797,1777719600041
HBAR,1.25e-05,-0.0003652613,1777719600041
POPCAT,1.25e-05,-3.117e-07,1777719600041
OMNI,0.0,0.0,1777719600041
EIGEN,1.25e-05,-0.0002714572,1777719600041
REZ,1.25e-05,-0.0003785748,1777719600041
NOT,1.25e-05,-5.38608e-05,1777719600041
TURBO,-1.04606e-05,-0.0005836848,1777719600041
BRETT,1.25e-05,-7.42986e-05,1777719600041
